platform.name,user.id,task.id,task.monetary_reward_in_dollars,task.assignable_hits_count,task.requester_name,task.estimate_duration_in_seconds,total.labor.event_count,total.labor.duration_in_seconds,working.labor.event_count,working.labor.duration_in_seconds,invisible.labor.event_count,invisible.labor.duration_in_seconds,adjusted.monetary_reward_in_dollars,completed_task
MTURK,ae862298385abab2a0a1619f8cedef9d,37M4O367VJO9QRYT7BXPHJ20C3I5M2,0.0,0.0,Nina Xue,1800,136,483,42,7,94,476,0.0,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3MZ3TAMYTKMLH0U0Q9T4A998KFTRI5,0.04,109.0,OKB,300,24,51,21,45,3,6,0.0468,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3INZSNUD80QMACUQYFYWK9BV0CH9D6,0.3,1.0,Arant Lin,3600,53,311,30,81,23,230,0.32591666666666663,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3B286OTISDGH9UIVT7YK97YJJWAAJ0,0.25,570.0,joanna socha,14400,59,45,28,17,31,28,0.25078125,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3E9ZFLPWO0KJDJRNXDHG072XWOZXIK,0.1,1.0,Anirban Kar,3600,20,29,9,19,11,10,0.10080555555555556,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3Y40HMYLL1JUL71FVD8WMAA6SFEUXF,0.0,1.0,Amazon Mechanical Turk Team,3600,38,66,21,50,17,16,0.0,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3VJ4PFXFJ37NNOZUVUQ53P88EIUUAD,1.0,32.0,Diana,7200,60,65,21,16,39,49,1.0090277777777779,0
MTURK,ae862298385abab2a0a1619f8cedef9d,36BTXXLZ2WFUZP6BE0XGNRRRJ8MR4D,0.3,13.0,John Robb,3600,40,56,13,5,27,51,0.30466666666666664,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3KVQ0UJWPXLA9WOZXUE27WTSXEF5WE,0.1,1.0,Zarren Kuzma,900,25,31,17,15,8,16,0.10344444444444445,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3UEBBGULPHCLXNXLMYSGTPQO9YJFU1,2.75,15.0,Noah Turk,1800,19,32,11,29,8,3,2.798888888888889,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3R15W654VDPG5EA716M2OO7E2XYLQX,0.5,1.0,Goldberg Imports,86400,91,65,25,21,66,44,0.5003761574074074,1
MTURK,ae862298385abab2a0a1619f8cedef9d,31KSVEGZ36RRW4QG86C2II4RIDTRW4,0.03,724.0,Cornell Datavis Lab,300,43,32,11,0,32,32,0.0332,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3P0I4CQYVYRAH3EVE05W46C8AJXWOT,0.2,1.0,OSU Spatial Health Lab,600,30,60,17,47,13,13,0.22000000000000003,1
MTURK,ae862298385abab2a0a1619f8cedef9d,386659BNTLFTD6UZ3FGOJHDX1GJ01H,0.2,13.0,I Shanks,1800,71,174,23,91,48,83,0.21933333333333335,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3X4Q1O9UBIOC0WTN7PYVS5DZJFHO75,0.75,0.0,Resumes,3600,116,180,69,95,47,85,0.7875,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3MVY4USGB7PON82CXXJ13ZD9UKVSI1,0.75,0.0,Resumes,3600,134,150,86,58,48,92,0.78125,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3L1EFR8WWTGPOH9JR3MPJI2BENZ9FT,0.46,4.0,Zeyu Jin,1200,59,163,17,25,42,138,0.5224833333333334,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3XQ4XW3ODAGMJ417AZVY3ZJ20AJS2Z,0.12,7.0,quarrel-recast,600,46,48,20,18,26,30,0.1296,0
MTURK,ae862298385abab2a0a1619f8cedef9d,30OITAWPBQ4XI95SUB4UUVULTA8H99,0.3,30.0,MPR Lab,600,38,84,11,46,27,38,0.34199999999999997,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3VDI8GSXAESQEOUTG0QEADZPZG1G8K,0.24,35.0,Stanford GSB Behavioral Lab,900,60,95,13,14,47,81,0.2653333333333333,1
MTURK,ae862298385abab2a0a1619f8cedef9d,31YWE12TE1QDGF5JXY8OQX6OS0D7X4,0.4,32.0,Keith Wilcox,1200,70,188,18,92,52,96,0.46266666666666667,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3N3WJQXELSJOIYSCX41UA1OOCVQ2LA,0.5,38.0,SCIP Lab,1800,141,132,22,9,119,123,0.5366666666666666,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3EKZL9T8Y8DM6YZHCX2LU74Y3FBCHJ,0.2,8.0,Deep Dialogue,3600,55,37,12,0,43,37,0.20205555555555557,0
MTURK,ae862298385abab2a0a1619f8cedef9d,31SIZS5W58ENXAJ9HUK9TWUZ8ATQRD,0.08,3.0,Mind and Language,900,21,31,20,22,1,9,0.08275555555555555,1
MTURK,ae862298385abab2a0a1619f8cedef9d,359AP8GAGGL2V31XW1YF8UQWC137CG,5.0,0.0,Ranjitha,5400,202,897,61,395,141,502,5.830555555555556,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3KVQ0UJWPYSH34RXRZQWFI5MBN75WI,0.3,0.0,John Robb,3600,145,600,65,380,80,220,0.35,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3RIHDBQ1NF0HXP56LNYAYT3075FMHH,2.0,0.0,mturk cda,4200,1383,3229,189,277,1194,2952,3.5376190476190477,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3HYV4299H1369MO84X3T5W8D693E8D,0.3,2.0,John Robb,3600,72,41,29,2,43,39,0.30341666666666667,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3566S7OX5DJPNW52EA0SEC44UT717O,0.3,0.0,UM,3600,29,30,14,8,15,22,0.3025,0
MTURK,ae862298385abab2a0a1619f8cedef9d,33KMQD9OFJMICQOH94AHU0UDQNY772,0.04,4.0,"Data Science Group, The New York Times",360,49,68,29,32,20,36,0.04755555555555556,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3W5PY7V3URRR4CXLXHMZJ5GL7NEJYT,3.0,76.0,Ma Study,3600,87,786,32,19,55,767,3.6550000000000002,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3PA41K45VPO4B34I5L1J3OI0CNB7PG,3.0,63.0,Ma Study,3600,43,29,25,12,18,17,3.024166666666667,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3S829FDFU58XTRIKU9IAOB5PGQVDXU,0.15,8523.0,Conversational AI,3600,25,49,20,44,5,5,0.15204166666666666,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3A9LA2FRWSE9YD6QM1R1FE03U2GXHF,0.02,1.0,cindy hong,180,41,37,32,22,9,15,0.02411111111111111,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3LEG2HW4UFNKW24LWS01VNEMZS5F22,0.2,1.0,researcher,3600,26,1820,17,9,9,1811,0.3011111111111111,1
MTURK,ae862298385abab2a0a1619f8cedef9d,362E9TQF2HQYVWZJ2IVG39UG4V7GIE,0.3,30.0,CB Research Lab,1800,71,213,27,67,44,146,0.33549999999999996,1
MTURK,ae862298385abab2a0a1619f8cedef9d,36FFXPMSUC71CJWIN8UD9C0DBZFHON,0.2,45.0,Violet Peng,3600,23,88,14,58,9,30,0.2048888888888889,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3D1TUISJWI5X16FODDQ7G8AADTVIUL,3.75,70.0,Research Methods,7200,23,30,12,3,11,27,3.765625,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3XQ4XW3ODAXQDT2T16V6TVP8YXIS2X,1.0,0.0,Hyunsun Park,3600,51,480,13,12,38,468,1.1333333333333333,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3MDKGGG61Q68I9W88AQDBEC9YJK6T2,0.75,0.0,K.L. Kettle,1800,20,339,14,227,6,112,0.89125,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3OND0WXMHWY2GT5GLY37C74Q9A3HEG,0.35,0.0,chris.lab111,14400,49,420,29,71,20,349,0.3602083333333333,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3D0LPO3EAB62K9LNK4AUQLU1MWGOYH,0.5,0.0,Language and Cognition Lab,1200,63,120,40,64,23,56,0.55,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3L55D8AUFAG95QBRZ7108JZQEU4YC4,0.15,95.0,chris.lab111,3600,18,59,14,39,4,20,0.15245833333333333,1
MTURK,ae862298385abab2a0a1619f8cedef9d,37SOB9Z0SSY8PYH6LI38GZVB6W2L3M,0.2,35.0,Didem Kurt,1200,44,146,28,87,16,59,0.22433333333333336,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3LN3BXKGC0VJHT61HR1OMT0DZ9GWGJ,0.01,1.0,Steve Berry,300,13,30,8,7,5,23,0.011,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3KWGG5KP6J8FJ3JYZUP5ETYR74HMCG,1.0,1.0,Jonathan Rolison,3000,41,90,18,64,23,26,1.03,0
MTURK,ae862298385abab2a0a1619f8cedef9d,3S1L4CQSG1T8LPO6Z1W060XMWZPFAE,0.75,1.0,Survey Launcher,1800,31,218,26,26,5,192,0.8408333333333333,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3QI9WAYOGQ0FMEJDAIRDGHO3RAI6SF,0.1,1.0,Mattress Advisor,600,15,120,12,87,3,33,0.12000000000000001,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3BAKUKE4AKPZNTVY7Y5VCCA5MS91RB,0.15,1.0,Patrick Healey,1800,14,119,5,45,9,74,0.15991666666666665,1
MTURK,ae862298385abab2a0a1619f8cedef9d,3M0556243RJC3RXK4Q2QWOJY3G6NF6,0.35,1.0,PickFu,2746,4,149,4,0,0,149,0.3689912600145666,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3W9XHF7WGLV68SQR2YVUGGPI6QVTK3,2.0,1.0,HCI Lab,7200,68,950,5,26,63,924,2.263888888888889,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3QREJ3J433IU1T71CX85W6LDXYZKLE,4.5,10.0,SYL,10800,856,5125,28,92,828,5033,6.635416666666667,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3YD0MU1NC2MPAV9DWCU6JN0GX1C7AN,4.5,10.0,SYL,10800,943,6197,36,187,907,6010,7.082083333333333,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,35U0MRQMUJSGNP4AOT24QW0O81BOVL,4.5,10.0,SYL,10800,72,60,43,25,29,35,4.525,0
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3YLTXLH3DGJXVA1OEIJ7IUHILVCHPF,1.0,1.0,Syntiant MTurk,3600,57,832,14,140,43,692,1.231111111111111,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3CMIQF80GN0XWBC81XEGMJKYJB8Q64,0.05,90.0,DiCarlo Lab,600,19,179,12,142,7,37,0.06491666666666668,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3S1L4CQSFXCZ8C5CEVGY2LHATU9AFF,3.0,0.0,Edward Gibson,5400,14,1057,13,1053,1,4,3.587222222222222,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,301KG0KX9BKYJG6VL2JVUSRHQV1H23,0.2,1.0,Caris,3600,36,785,17,9,19,776,0.2436111111111111,0
MTURK,149c64b9f9b890bcf32bd2dcf595fd,391JB9X4ZYTE7BPMC99KWJ02X3PKMG,4.5,11.0,SYL,10800,658,76958,185,1798,473,75160,36.56583333333334,0
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3TFJJUELSHA6H995AE92TR9WMPD2C8,4.5,11.0,SYL,10800,21,4380,2,28,19,4352,6.325,1
MTURK,149c64b9f9b890bcf32bd2dcf595fd,3HUR21WDEXJOBYKB4KOVH1EP07UXYD,2.5,0.0,rasa-research,1800,71,68871,16,59,55,68812,98.15416666666667,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3W9XHF7WGLV68SQR2YVUGGPI6QVTK3,2.0,1.0,HCI Lab,7200,56,648,6,99,50,549,2.18,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3YLTXLH3DGJXVA1OEIJ7IUHILVCHPF,1.0,1.0,Syntiant MTurk,3600,97,12803,10,103,87,12700,4.556388888888889,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3S829FDFT28E65Z9YZDMYTPNI28DXH,3.0,0.0,Edward Gibson,5400,274,3868,117,1429,157,2439,5.148888888888889,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,33KMQD9OGNEGFJM1CC14J83R6KW77O,0.05,1035.0,Taeyeong Kim,1800,4,211,3,206,1,5,0.05586111111111111,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3MWOYZD5XZOC3A6N95ZVQRBCWOBON6,0.05,949.0,Taeyeong Kim,1800,10,117,10,116,0,1,0.053250000000000006,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3LOJFQ4BOXNVLE5RU8YW84P9IRPKD5,0.02,112.0,swati panda,1800,57,1826,9,4,48,1822,0.04028888888888889,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,32204AGAACYE4SPK5CBF17T49ECGH3,1.0,1.0,HBS Behavioral Research,3600,311,1829,100,294,211,1535,1.5080555555555555,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3SV8KD29L4NHBY1VOGOC3L7OGASZKZ,0.07,524.0,Upside Services Inc,3600,76,260,61,209,15,51,0.07505555555555557,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,31MBOZ6PAOMFNB83H2G57NJIWTLLC1,0.07,591.0,Upside Services Inc,3600,41,235,29,225,12,10,0.07456944444444445,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3E6L1VR4XXQ6QWK0ABMGI2Z5TL8F65,0.08,134.0,AVID Annotation,1800,251,1063,34,111,217,952,0.12724444444444444,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3R868ACW4S7C9C5CYP3X5TFV9UKGZO,0.07,6021.0,Upside Services Inc,3600,58,187,39,146,19,41,0.07363611111111112,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,37ZQELHEQ0XJRE96CKSB6UTB3Z8NMN,0.07,380.0,Oliver,600,134,210,41,25,93,185,0.0945,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,39O6Z4JLX2W7TVHJSIGBRS3MW6VXVZ,0.07,466.0,Oliver,600,84,141,44,60,40,81,0.08645000000000001,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3O2Y2UIUCRI12UR5YVXWHBZNV2CKFU,0.1,351.0,MLDataLabeler,600,23,60,12,6,11,54,0.11000000000000001,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3D0LPO3EACNQSCTF1DHDDDNCLIBYOO,0.1,18.0,MLDataLabeler,600,56,90,24,18,32,72,0.115,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,36AZSFEYZ5OP1DMB27PJCMMLC66BVK,0.1,669.0,MLDataLabeler,600,48,140,18,58,30,82,0.12333333333333335,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,37OPIVELUVRF02MZR48J2AB6M9AHA5,0.1,581.0,MLDataLabeler,600,43,95,23,39,20,56,0.11583333333333334,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,39N6W9XWREB2WOPRN44HKWHCA00YGX,0.1,516.0,MLDataLabeler,600,31,101,24,17,7,84,0.11683333333333334,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3WKGUBL7S0A2K9P89ODQHZIDBGO4LP,0.1,416.0,MLDataLabeler,600,33,120,15,10,18,110,0.12000000000000001,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3Y3CZJSZ9LHVJQOLSDTW83XQH47R56,0.1,318.0,MLDataLabeler,600,33,100,17,9,16,91,0.11666666666666667,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,33CLA8O0MJZNLNHAYP65UFO36YLRFP,0.1,231.0,MLDataLabeler,600,61,100,27,3,34,97,0.11666666666666667,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3RDTX9JRTZP42U6IMP87F2BS2OX79F,0.1,1.0,MLDataLabeler,600,184,604,57,200,127,404,0.2006666666666667,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,371Q3BEXDIX5VUVD4G05BP6FO1MSZA,0.1,229.0,MLDataLabeler,600,36,66,14,12,22,54,0.111,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3P7RGTLO6F1663AXNFB43AOWYM2AKA,0.1,229.0,MLDataLabeler,600,44,46,19,6,25,40,0.10766666666666667,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3JHB4BPSFLXECNYN8EH131PLRACQ93,0.1,73.0,MLDataLabeler,600,29,33,15,2,14,31,0.10550000000000001,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3GITHABACZ9I5VD6HNAH1CP4WXSN2E,0.01,50.0,MLDataLabeler,300,26,42,13,21,13,21,0.0114,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3CMIQF80GOERRPUJ3MVCQJR0SL4Q6S,0.01,82.0,MLDataLabeler,300,22,35,11,23,11,12,0.011166666666666667,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3FULMHZ7OVLMU2UJZQET5KU0VH2M4H,0.1,525.0,MLDataLabeler,600,46,113,10,9,36,104,0.11883333333333335,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3MD8CKRQZ0B3U0QW75XEXLDTJ1RJRT,0.1,461.0,MLDataLabeler,600,36,57,16,25,20,32,0.10950000000000001,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,38XPGNCKHUO5KPOSDIFKSGDDMAF4VH,0.1,390.0,MLDataLabeler,600,38,43,19,7,19,36,0.10716666666666667,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,34ZTTGSNJYC7RTG66Q5TGIN9ANMHQM,0.1,291.0,MLDataLabeler,600,38,56,21,3,17,53,0.10933333333333334,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3N2YPY1GI7MNCRLL2ORX12P4ZZ8VED,0.1,285.0,MLDataLabeler,600,26,43,16,3,10,40,0.10716666666666667,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3IKDQS3DQFO3TNH77QMJWPZ76L0CI5,0.1,115.0,MLDataLabeler,600,26,47,16,3,10,44,0.10783333333333334,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3X878VYTIF6D7FKLF18ND6U1PIH7FG,0.1,0.0,MLDataLabeler,600,22,162,14,95,8,67,0.127,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,37S0QRNUFBG4Y4JRN2PXBL05BVV886,0.5,1.0,John Wixted,900,3360,80146,805,2089,2555,78057,45.025555555555556,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3P4C70TRNUZKXK0O3T71MEEEKX0LGX,0.02,0.0,Sam Davis,600,22,92,5,4,17,88,0.023066666666666666,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3PUOXASB573SHBAVXEFT0L6D0N3Z90,2.0,0.0,Rachel Burgess,5400,202,2072,33,115,169,1957,2.7674074074074073,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3MXX6RQ9EX4L0YZTM0VYMJZ0UPE4PD,1.0,0.0,Faisal,2400,211,1409,85,635,126,774,1.5870833333333334,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3G5RUKN2EB25154K8M60KEN9MIF9NC,1.2,0.0,Christopher E. Wilson,2700,126,750,51,78,75,672,1.5333333333333332,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3B623HUYJ5VFG5ZHRAM5AFUOUFQ8SV,0.04,62.0,Marketing Research,10800,190,353,105,172,85,181,0.04130740740740741,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3D4BBDG70L3FULZ1LS315Z4V8FI3CO,0.63,2.0,NVIDIA SRL MTURK,1800,22,34,16,30,6,4,0.6419,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3PKJ68EHDN123KJPEBG91XCWYR7JHX,0.25,60.0,Alan Ritter,1800,110,299,54,187,56,112,0.2915277777777778,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3W31J70BBWHHRO7M3MVYA23XXXLCKD,0.02,171.0,AAH MTurk,3600,208,582,90,230,118,352,0.023233333333333335,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3W31J70BBVKXG9DOMPWBHW3EYOKCK6,0.14,657.0,Dimitrios Papadopoulos,420,57,239,30,63,27,176,0.21966666666666668,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3OEWW2KGRMZQBS4HKDJF8J253T6DOR,0.14,635.0,Dimitrios Papadopoulos,420,85,1416,39,1207,46,209,0.6120000000000001,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3K3IX1W4T9FAYLD6F35S7IZPSV5PAI,0.14,573.0,Dimitrios Papadopoulos,420,39,138,16,29,23,109,0.18600000000000003,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,39WICJI5BWG4S4GRTXOKB8NXWKJZ3G,0.14,567.0,Dimitrios Papadopoulos,420,49,137,20,16,29,121,0.1856666666666667,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,33CLA8O0NLZQ6PAT3BV9QEAVQT6RFP,0.14,563.0,Dimitrios Papadopoulos,420,26,107,12,6,14,101,0.1756666666666667,0
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,3BDORL6HLN1J3DQJC958I8PSTGECRZ,0.14,548.0,Dimitrios Papadopoulos,420,29,171,12,10,17,161,0.197,1
MTURK,49e7482b6cda157f388c73b3bcc2ebfc,309D674SI29WN69UGCJIITKOBUBCBM,0.14,542.0,Dimitrios Papadopoulos,420,31,177,14,15,17,162,0.199,0
